step,action,removed_ids,removed_labels,removed_exkurt,removed_caps,parent_id,rho,cost,n_after,density,val_loss
1,prune,226,distributed,-0.228,1.3012,,,0.42206,255,0.9961,1.7877
2,prune,181,last=vowel,-0.067,1.3154,,,0.42572,254,0.9922,1.7920
3,prune,57,last=space,+0.984,1.3258,,,0.42812,253,0.9883,1.7944
4,prune,46,distributed,+0.068,1.3368,,,0.43070,252,0.9844,1.7989
5,prune,236,distributed,+0.099,1.3713,,,0.44084,251,0.9805,1.8068
6,prune,8,distributed,-0.115,1.4087,,,0.45189,250,0.9766,1.8099
7,prune,137,last=space,+0.031,1.4168,,,0.45350,249,0.9727,1.8158
8,prune,87,last=vowel,-0.095,1.4544,,,0.46453,248,0.9688,1.8206
9,prune,63,distributed,-0.052,1.4798,,,0.47164,247,0.9648,1.8264
10,prune,49,last=space,+0.390,1.5055,,,0.47884,246,0.9609,1.8361
11,prune,205,last=space,-0.189,1.5178,,,0.48173,245,0.9570,1.8398
12,prune,79,distributed,+0.362,1.5290,,,0.48426,244,0.9531,1.8455
13,prune,65,distributed,+0.255,1.5623,,,0.49379,243,0.9492,1.8486
14,prune,147,last=space,-0.256,1.6058,,,0.50651,242,0.9453,1.8498
15,prune,115,last=vowel,+0.659,1.6293,,,0.51290,241,0.9414,1.8546
16,prune,74,last=space,+0.423,1.6379,,,0.51455,240,0.9375,1.8614
17,prune,174,distributed,+0.302,1.6455,,,0.51592,239,0.9336,1.8696
18,prune,90,last=vowel,-0.018,1.6684,,,0.52205,238,0.9297,1.8740
19,prune,132,distributed,+0.349,1.7126,,,0.53485,237,0.9258,1.8838
20,prune,5,last=space,-0.289,1.7198,,,0.53604,236,0.9219,1.9005
21,prune,210,last=vowel,-0.167,1.7377,,,0.54056,235,0.9180,1.9087
22,prune,146,last=newline,-0.125,1.7437,,,0.54139,234,0.9141,1.9071
23,prune,165,last=space,+0.366,1.7515,,,0.54275,233,0.9102,1.9180
24,prune,59,last=vowel,+0.129,1.7777,,,0.54979,232,0.9062,1.9185
25,prune,186,last=space,+0.016,1.8216,,,0.56232,231,0.9023,1.9214
26,prune,254,last=space,-0.232,1.8932,,,0.58339,230,0.8984,1.9301
